sessionId,time_ms,eventType,posX,posY,section,extra
7c25f709,0,LEVEL_START,-709,-304,S00_START,Lab_Tema1_CRISP_PuntosFuga
7c25f709,239,LAND,-709,-392,S00_START,
7c25f709,463,JUMP,-677,-391,S00_START,velX=5 00
7c25f709,1219,SECTION_ENTER,-289,-250,S01_EASY_ENTER,S01_EASY_ENTER
7c25f709,1259,LAND,-269,-262,S01_EASY_ENTER,
7c25f709,2891,JUMP,537,-262,S01_EASY_ENTER,velX=5 00
7c25f709,3659,SECTION_ENTER,931,-128,S02_MID_ENTER,S02_MID_ENTER
7c25f709,3679,LAND,941,-126,S02_MID_ENTER,
7c25f709,5535,JUMP,1859,-136,S02_MID_ENTER,velX=5 00
7c25f709,6339,LAND,2271,-16,S02_MID_ENTER,
7c25f709,6499,SECTION_ENTER,2351,-13,S03_HARD_ENTER,S03_HARD_ENTER
7c25f709,8455,JUMP,3319,-29,S03_HARD_ENTER,velX=5 00
7c25f709,9219,LAND,3711,124,S03_HARD_ENTER,
7c25f709,9359,SECTION_ENTER,3781,125,S04_SUPERHARD_ENTER,S04_SUPERHARD_ENTER
7c25f709,10739,GOAL_REACHED,4457,125,S04_SUPERHARD_ENTER,
