sessionId,time_ms,eventType,posX,posY,section,extra
39c700ef,0,LEVEL_START,-709,-304,S00_START,Lab_Tema1_CRISP_PuntosFuga
39c700ef,239,LAND,-709,-392,S00_START,
39c700ef,429,JUMP,-674,-391,S00_START,velX=5 00
39c700ef,1099,SECTION_ENTER,-329,-257,S01_EASY_ENTER,S01_EASY_ENTER
39c700ef,1139,LAND,-309,-264,S01_EASY_ENTER,
39c700ef,2685,JUMP,454,-260,S01_EASY_ENTER,velX=5 00
39c700ef,3479,LAND,861,-125,S01_EASY_ENTER,
39c700ef,3619,SECTION_ENTER,931,-125,S02_MID_ENTER,S02_MID_ENTER
39c700ef,5453,JUMP,1838,-128,S02_MID_ENTER,velX=5 00
39c700ef,6259,LAND,2251,-14,S02_MID_ENTER,
39c700ef,6459,SECTION_ENTER,2351,-13,S03_HARD_ENTER,S03_HARD_ENTER
39c700ef,8819,DEATH_HAZARD,3531,-391,S03_HARD_ENTER,
39c700ef,8819,RESPAWN,2438,-33,S03_HARD_ENTER,
39c700ef,8839,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
39c700ef,8839,LAND,2448,-19,S03_HARD_ENTER,
39c700ef,10565,JUMP,3301,-22,S03_HARD_ENTER,velX=5 00
39c700ef,11699,DEATH_HAZARD,3816,-390,S03_HARD_ENTER,
39c700ef,11699,RESPAWN,2438,-33,S03_HARD_ENTER,
39c700ef,11719,SECTION_ENTER,2448,-19,S03_HARD_ENTER,S03_HARD_ENTER
39c700ef,11719,LAND,2448,-19,S03_HARD_ENTER,
39c700ef,13469,JUMP,3313,-28,S03_HARD_ENTER,velX=5 00
39c700ef,14239,LAND,3708,124,S03_HARD_ENTER,
39c700ef,14399,SECTION_ENTER,3788,125,S04_SUPERHARD_ENTER,S04_SUPERHARD_ENTER
39c700ef,15759,GOAL_REACHED,4456,125,S04_SUPERHARD_ENTER,
